trial_index,condition_name,total_signals,sifted_key_length,sifting_ratio,test_bits,estimated_qber,actual_qber,estimated_error_count,actual_error_count,corrected_bits,reconciliation_leakage,reconciled_key_length,final_key_length,final_key_rate,compression_ratio,accepted,final_keys_match,reconciliation_matched,z_basis_sifted_length,z_basis_qber,x_basis_sifted_length,x_basis_qber,qber_ci_lower,qber_ci_upper
0,Bit-Flip Noise (10%),2000,981,0.4905,196,0.04591836734693878,0.046890927624872576,9,46,37,298,785,213,0.1065,0.2713375796178344,True,True,True,467,0.09850107066381156,514,0.0,0.024343087125189636,0.08495084492267023
1,Bit-Flip Noise (10%),2000,971,0.4855,194,0.041237113402061855,0.05046343975283213,8,49,41,311,777,236,0.118,0.30373230373230375,True,True,True,525,0.09333333333333334,446,0.0,0.02104116247795532,0.07924852876758214
2,Bit-Flip Noise (10%),2000,991,0.4955,198,0.04040404040404041,0.04339051463168517,8,43,35,340,793,235,0.1175,0.296343001261034,True,True,True,509,0.08447937131630648,482,0.0,0.020613166178095263,0.07768903068781369
3,Bit-Flip Noise (10%),2000,995,0.4975,199,0.03015075376884422,0.036180904522613064,6,36,30,270,796,350,0.175,0.4396984924623116,True,True,True,509,0.07072691552062868,486,0.0,0.013890126214792575,0.06420761037611564
4,Bit-Flip Noise (10%),2000,1003,0.5015,201,0.07462686567164178,0.04685942173479561,15,47,32,281,802,47,0.0235,0.05860349127182045,True,True,True,501,0.09381237524950099,502,0.0,0.04574352440944327,0.11946452973899399
5,Bit-Flip Noise (10%),2000,975,0.4875,195,0.035897435897435895,0.038974358974358976,7,38,31,222,780,320,0.16,0.41025641025641024,True,True,True,478,0.0794979079497908,497,0.0,0.017495563557414016,0.07223149299562964
6,Bit-Flip Noise (10%),2000,991,0.4955,198,0.020202020202020204,0.04944500504540868,4,49,45,380,793,376,0.188,0.47414880201765447,True,True,True,481,0.10187110187110188,510,0.0,0.007883534706380906,0.05078359388989766
7,Bit-Flip Noise (10%),2000,998,0.499,200,0.055,0.052104208416833664,11,52,41,314,798,150,0.075,0.18796992481203006,True,True,True,542,0.0959409594095941,456,0.0,0.03098534170345884,0.0957869987723084
8,Bit-Flip Noise (10%),2000,1013,0.5065,203,0.06403940886699508,0.05330700888450148,13,54,41,317,810,95,0.0475,0.11728395061728394,True,True,True,484,0.1115702479338843,529,0.0,0.03780341618196201,0.10646871857687748
9,Bit-Flip Noise (10%),2000,986,0.493,197,0.04568527918781726,0.035496957403651115,9,35,26,254,789,239,0.1195,0.302915082382763,True,True,True,487,0.07186858316221766,499,0.0,0.024218569045282967,0.08453118286820814
0,Phase-Flip Noise (10%),2000,970,0.485,194,0.05670103092783505,0.060824742268041236,11,59,48,339,776,118,0.059,0.15206185567010308,True,True,True,455,0.0,515,0.1145631067961165,0.03195255981149291,0.09866444521228485
1,Phase-Flip Noise (10%),2000,1014,0.507,203,0.08866995073891626,0.05226824457593689,18,53,35,293,811,1,0.0005,0.0012330456226880395,True,True,True,513,0.0,501,0.10578842315369262,0.05682352842412901,0.13579481341048227
2,Phase-Flip Noise (10%),2000,975,0.4875,195,0.08717948717948718,0.06256410256410257,17,61,44,323,780,1,0.0005,0.001282051282051282,True,True,True,477,0.0,498,0.12248995983935743,0.05514218135043715,0.13516752088735307
3,Phase-Flip Noise (10%),2000,1021,0.5105,204,0.05392156862745098,0.04407443682664055,11,45,34,292,817,176,0.088,0.21542227662178703,True,True,True,500,0.0,521,0.08637236084452975,0.03037242098415851,0.0939601302177058
4,Phase-Flip Noise (10%),2000,997,0.4985,199,0.06030150753768844,0.04914744232698094,12,49,37,347,798,99,0.0495,0.12406015037593984,True,True,True,493,0.0,504,0.09722222222222222,0.034828024751301506,0.10242921537387994
5,Phase-Flip Noise (10%),2000,957,0.4785,191,0.02617801047120419,0.0438871473354232,5,42,37,243,766,376,0.188,0.4908616187989556,True,True,True,466,0.0,491,0.0855397148676171,0.01123237628656731,0.05980722126352053
6,Phase-Flip Noise (10%),2000,1024,0.512,205,0.05853658536585366,0.0546875,12,56,44,384,819,100,0.05,0.1221001221001221,True,True,True,514,0.0,510,0.10980392156862745,0.033799020143334406,0.09951482940508347
7,Phase-Flip Noise (10%),2000,1042,0.521,208,0.04326923076923077,0.052783109404990404,9,55,46,343,834,233,0.1165,0.2793764988009592,True,True,True,531,0.0,511,0.10763209393346379,0.022928471674678104,0.08017438147920372
8,Phase-Flip Noise (10%),2000,996,0.498,199,0.06030150753768844,0.05120481927710843,12,51,39,306,797,120,0.06,0.15056461731493098,True,True,True,526,0.0,470,0.10851063829787234,0.034828024751301506,0.10242921537387994
9,Phase-Flip Noise (10%),2000,978,0.489,196,0.05612244897959184,0.04294478527607362,11,42,31,271,782,158,0.079,0.2020460358056266,True,True,True,510,0.0,468,0.08974358974358974,0.03162351270832498,0.09768628603508858
0,Depolarizing Noise (10%),2000,1018,0.509,204,0.0392156862745098,0.03732809430255403,8,38,30,222,814,314,0.157,0.3857493857493858,True,True,True,532,0.041353383458646614,486,0.03292181069958848,0.020002853883823005,0.07546153966535551
1,Depolarizing Noise (10%),2000,1000,0.5,200,0.045,0.053,9,53,44,326,800,213,0.1065,0.26625,True,True,True,484,0.05165289256198347,516,0.05426356589147287,0.023852543001492997,0.0832967040018196
2,Depolarizing Noise (10%),2000,986,0.493,197,0.050761421319796954,0.056795131845841784,10,56,46,384,789,139,0.0695,0.1761723700887199,True,True,True,466,0.045064377682403435,520,0.0673076923076923,0.027803153770755387,0.09090470147331124
3,Depolarizing Noise (10%),2000,1028,0.514,206,0.03398058252427184,0.05155642023346303,7,53,46,339,822,300,0.15,0.36496350364963503,True,True,True,520,0.05576923076923077,508,0.047244094488188976,0.016555877692401237,0.06846763920918178
4,Depolarizing Noise (10%),2000,980,0.49,196,0.05612244897959184,0.06020408163265306,11,59,48,388,784,101,0.0505,0.1288265306122449,True,True,True,496,0.07056451612903226,484,0.049586776859504134,0.03162351270832498,0.09768628603508858
