trial_index,condition_name,total_signals,sifted_key_length,sifting_ratio,test_bits,estimated_qber,actual_qber,estimated_error_count,actual_error_count,corrected_bits,reconciliation_leakage,reconciled_key_length,final_key_length,final_key_rate,compression_ratio,accepted,final_keys_match,reconciliation_matched,z_basis_sifted_length,z_basis_qber,x_basis_sifted_length,x_basis_qber,qber_ci_lower,qber_ci_upper
0,Eve_0.00_Noise_0.00,1000,473,0.473,95,0.0,0.0,0,0,0,24,378,283,0.283,0.7486772486772487,True,True,True,232,0.0,241,0.0,0.0,0.038864853539472964
1,Eve_0.00_Noise_0.00,1000,485,0.485,97,0.0,0.0,0,0,0,25,388,291,0.291,0.75,True,True,True,244,0.0,241,0.0,0.0,0.03809404252594769
2,Eve_0.00_Noise_0.00,1000,484,0.484,97,0.0,0.0,0,0,0,25,387,290,0.29,0.7493540051679587,True,True,True,259,0.0,225,0.0,0.0,0.03809404252594769
3,Eve_0.00_Noise_0.00,1000,493,0.493,99,0.0,0.0,0,0,0,25,394,295,0.295,0.748730964467005,True,True,True,243,0.0,250,0.0,0.0,0.03735321206782739
4,Eve_0.00_Noise_0.00,1000,492,0.492,98,0.0,0.0,0,0,0,25,394,295,0.295,0.748730964467005,True,True,True,241,0.0,251,0.0,0.0,0.037719990121680605
0,Eve_0.00_Noise_0.05,1000,488,0.488,98,0.0,0.020491803278688523,0,10,10,90,390,292,0.292,0.7487179487179487,True,True,True,242,0.02066115702479339,246,0.02032520325203252,0.0,0.037719990121680605
1,Eve_0.00_Noise_0.05,1000,504,0.504,101,0.039603960396039604,0.03373015873015873,4,17,13,130,403,144,0.144,0.3573200992555831,True,True,True,243,0.01646090534979424,261,0.04980842911877394,0.015507146202925828,0.0974391915711991
2,Eve_0.00_Noise_0.05,1000,471,0.471,94,0.02127659574468085,0.027600849256900213,2,13,11,116,377,206,0.206,0.5464190981432361,True,True,True,232,0.021551724137931036,239,0.03347280334728033,0.005854336239172753,0.07429020489102965
3,Eve_0.00_Noise_0.05,1000,485,0.485,97,0.020618556701030927,0.018556701030927835,2,9,7,53,388,249,0.249,0.6417525773195877,True,True,True,257,0.027237354085603113,228,0.008771929824561403,0.005672685102266338,0.07208758247415772
4,Eve_0.00_Noise_0.05,1000,497,0.497,99,0.0,0.02414486921529175,0,12,12,73,398,298,0.298,0.7487437185929648,True,True,True,254,0.01968503937007874,243,0.02880658436213992,0.0,0.03735321206782739
0,Eve_0.00_Noise_0.10,1000,479,0.479,96,0.09375,0.06263048016701461,9,30,21,155,383,1,0.001,0.0026109660574412533,True,True,True,246,0.08130081300813008,233,0.04291845493562232,0.050108108212146014,0.1686533069222155
1,Eve_0.00_Noise_0.10,1000,529,0.529,106,0.03773584905660377,0.04725897920604915,4,25,21,191,423,131,0.131,0.30969267139479906,True,True,True,246,0.044715447154471545,283,0.04946996466431095,0.014770847100615568,0.09303415610882099
2,Eve_0.00_Noise_0.10,1000,508,0.508,102,0.0392156862745098,0.051181102362204724,4,26,22,164,406,130,0.13,0.32019704433497537,True,True,True,259,0.06563706563706563,249,0.03614457831325301,0.015354071528489173,0.09652513868491805
3,Eve_0.00_Noise_0.10,1000,479,0.479,96,0.052083333333333336,0.04175365344467641,5,20,15,132,383,90,0.09,0.2349869451697128,True,True,True,243,0.037037037037037035,236,0.046610169491525424,0.02244960047424143,0.11618478031492638
