condition_name,total_signals,num_trials,master_seed,eve_enabled,eve_probability,noise_model,noise_probability,acceptance_rate,key_agreement_rate,mean_sifting_ratio,qber_mean,qber_std,qber_median,qber_min,qber_max,actual_qber_mean,actual_qber_std,final_key_length_mean,final_key_length_std,final_key_rate_mean,final_key_rate_std,leakage_mean,mean_z_basis_qber,mean_x_basis_qber,pooled_ci_lower,pooled_ci_upper
Eve_p_0.0,1200,8,2002,False,0.0,none,0.0,1.0,1.0,0.496875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.375,8.846912294289863,0.29781250000000004,0.007372426911908215,30.25,0.0,0.0,0.0,0.004010537219200947
Eve_p_0.1,1200,8,2079,True,0.1,none,0.0,1.0,1.0,0.4998958333333333,0.018977414799650216,0.013025615230059386,0.016394544110730366,0.007936507936507936,0.043859649122807015,0.02380163676808853,0.0038367458622077266,298.5,68.50860217103084,0.24875,0.05709050180919237,112.375,0.022115994047779884,0.025501044975116197,0.011905114862259597,0.02947392885849239
Eve_p_0.2,1200,8,2156,True,0.2,none,0.0,0.875,1.0,0.4951041666666667,0.0482003125100313,0.020325535074383907,0.0423728813559322,0.017543859649122806,0.08064516129032258,0.050062347891812325,0.008140731810176638,98.75,83.86000238492723,0.08229166666666667,0.06988333532077269,193.0,0.05095156098803989,0.049320265940592,0.03649658421466627,0.06398285912929376
Eve_p_0.3,1200,8,2233,True,0.3,none,0.0,0.625,1.0,0.49572916666666667,0.08515975692649902,0.02775109840566595,0.08754080144454476,0.043478260869565216,0.13559322033898305,0.07556927036924985,0.008465941288778034,3.25,6.181770435262516,0.002708333333333333,0.005151475362718762,228.125,0.07247755280695688,0.07907443746872778,0.06905859222316066,0.10462621931143865
Eve_p_0.4,1200,8,2310,True,0.4,none,0.0,0.375,1.0,0.5015625,0.09649070862670994,0.020336732316244964,0.10255376344086022,0.06611570247933884,0.12195121951219512,0.09998727874256412,0.009325812492100426,0.375,0.5175491695067657,0.0003125,0.0004312909745889714,221.5,0.09899227209429251,0.10115846153851824,0.07948871032150605,0.11686350139710754
Eve_p_0.5,1200,8,2387,True,0.5,none,0.0,0.0,0.0,0.5011458333333334,0.12871688791470443,0.03226892492408068,0.13102521008403362,0.06779661016949153,0.17073170731707318,0.1284791889910617,0.012606785330224381,0.0,0.0,0.0,0.0,41.75,0.1372897014678896,0.11961335346258345,0.1091900363404441,0.1515582019140993
Eve_p_0.6,1200,8,2464,True,0.6,none,0.0,0.0,0.0,0.5045833333333334,0.13567059724940467,0.032538397133993584,0.13289219740832645,0.09322033898305085,0.19327731092436976,0.1454749364289834,0.00762704245507682,0.0,0.0,0.0,0.0,87.125,0.1422941179564248,0.14868956248268433,0.1152170975589822,0.15832696295402188
Eve_p_0.7,1200,8,2541,True,0.7,none,0.0,0.0,0.0,0.49322916666666666,0.1952384186444621,0.045531589950969655,0.20083284628872006,0.09322033898305085,0.24786324786324787,0.18245156987971917,0.02357886717154504,0.0,0.0,0.0,0.0,43.5,0.17928178452299479,0.18496089683042766,0.1711708718315779,0.22158514373836133
Eve_p_0.8,1200,8,2618,True,0.8,none,0.0,0.0,0.0,0.4911458333333333,0.204416587094005,0.02975269254078056,0.20487719298245613,0.1565217391304348,0.2608695652173913,0.2041634849671758,0.021968010239253273,0.0,0.0,0.0,0.0,0.0,0.1968124229314582,0.210759000060888,0.17994426124584187,0.23134969007143383
Eve_p_0.9,1200,8,2695,True,0.9,none,0.0,0.0,0.0,0.5015625,0.21347908043361746,0.040719178314292795,0.20090590298071304,0.16666666666666666,0.2956521739130435,0.22672574438732773,0.019685442245088267,0.0,0.0,0.0,0.0,0.0,0.21721507858206807,0.23702090001665477,0.18818988280305024,0.23984457418587293
Eve_p_1.0,1200,8,2772,True,1.0,none,0.0,0.0,0.0,0.4970833333333333,0.2395956948532519,0.04407243843375836,0.24595458017917912,0.1694915254237288,0.2845528455284553,0.24281660231895796,0.02520678213935123,0.0,0.0,0.0,0.0,0.0,0.2460393215861904,0.23957476783019724,0.2137884857023428,0.2678776485392093
