trial_index,condition_name,total_signals,sifted_key_length,sifting_ratio,test_bits,estimated_qber,actual_qber,estimated_error_count,actual_error_count,corrected_bits,reconciliation_leakage,reconciled_key_length,final_key_length,final_key_rate,compression_ratio,accepted,final_keys_match,reconciliation_matched,z_basis_sifted_length,z_basis_qber,x_basis_sifted_length,x_basis_qber,qber_ci_lower,qber_ci_upper
0,Eve_p_0.0,1200,614,0.5116666666666667,123,0.0,0.0,0,0,0,31,491,368,0.30666666666666664,0.7494908350305499,True,True,True,300,0.0,314,0.0,0.0,0.030285514345309572
1,Eve_p_0.0,1200,592,0.49333333333333335,118,0.0,0.0,0,0,0,30,474,355,0.29583333333333334,0.7489451476793249,True,True,True,288,0.0,304,0.0,0.0,0.03152833902249433
2,Eve_p_0.0,1200,574,0.47833333333333333,115,0.0,0.0,0,0,0,29,459,344,0.2866666666666667,0.7494553376906318,True,True,True,279,0.0,295,0.0,0.0,0.03232423144931307
3,Eve_p_0.0,1200,613,0.5108333333333334,123,0.0,0.0,0,0,0,31,490,367,0.30583333333333335,0.7489795918367347,True,True,True,282,0.0,331,0.0,0.0,0.030285514345309572
4,Eve_p_0.0,1200,597,0.4975,119,0.0,0.0,0,0,0,30,478,358,0.29833333333333334,0.7489539748953975,True,True,True,315,0.0,282,0.0,0.0,0.031271680241939506
5,Eve_p_0.0,1200,609,0.5075,122,0.0,0.0,0,0,0,31,487,365,0.30416666666666664,0.7494866529774127,True,True,True,313,0.0,296,0.0,0.0,0.030526178389012868
6,Eve_p_0.0,1200,590,0.49166666666666664,118,0.0,0.0,0,0,0,30,472,354,0.295,0.75,True,True,True,312,0.0,278,0.0,0.0,0.03152833902249433
7,Eve_p_0.0,1200,581,0.4841666666666667,116,0.0,0.0,0,0,0,30,465,348,0.29,0.7483870967741936,True,True,True,274,0.0,307,0.0,0.0,0.032054506499638716
0,Eve_p_0.1,1200,600,0.5,120,0.03333333333333333,0.021666666666666667,4,13,9,96,480,229,0.19083333333333333,0.47708333333333336,True,True,True,312,0.02564102564102564,288,0.017361111111111112,0.0130375510983506,0.082580337559106
1,Eve_p_0.1,1200,617,0.5141666666666667,123,0.016260162601626018,0.022690437601296597,2,14,12,110,494,320,0.26666666666666666,0.6477732793522267,True,True,True,302,0.013245033112582781,315,0.031746031746031744,0.004470508507497795,0.0573504362656066
2,Eve_p_0.1,1200,605,0.5041666666666667,121,0.01652892561983471,0.024793388429752067,2,15,13,114,484,309,0.2575,0.6384297520661157,True,True,True,296,0.016891891891891893,309,0.032362459546925564,0.004544593546124867,0.05826674248573428
3,Eve_p_0.1,1200,628,0.5233333333333333,126,0.007936507936507936,0.020700636942675158,1,13,12,112,502,376,0.31333333333333335,0.749003984063745,True,True,True,327,0.01834862385321101,301,0.023255813953488372,0.0014023650608123127,0.04358679998516077
4,Eve_p_0.1,1200,583,0.48583333333333334,117,0.017094017094017096,0.024013722126929673,2,14,12,108,466,295,0.24583333333333332,0.6330472103004292,True,True,True,291,0.027491408934707903,292,0.02054794520547945,0.004700382604581561,0.06019008542865668
5,Eve_p_0.1,1200,597,0.4975,119,0.008403361344537815,0.03015075376884422,1,18,17,158,478,332,0.27666666666666667,0.694560669456067,True,True,True,306,0.016339869281045753,291,0.044673539518900345,0.0014849430400896285,0.04606788543307778
6,Eve_p_0.1,1200,572,0.4766666666666667,114,0.043859649122807015,0.027972027972027972,5,16,11,101,458,169,0.14083333333333334,0.36899563318777295,True,True,True,280,0.03571428571428571,292,0.02054794520547945,0.018877509553328058,0.09858080231087835
7,Eve_p_0.1,1200,597,0.4975,119,0.008403361344537815,0.018425460636515914,1,11,10,100,478,358,0.29833333333333334,0.7489539748953975,True,True,True,301,0.023255813953488372,296,0.013513513513513514,0.0014849430400896285,0.04606788543307778
0,Eve_p_0.2,1200,604,0.5033333333333333,121,0.03305785123966942,0.061258278145695365,4,37,31,248,483,0,0.0,0.0,False,False,False,304,0.06578947368421052,300,0.056666666666666664,0.012929181394125314,0.08192279272211472
1,Eve_p_0.2,1200,592,0.49333333333333335,118,0.0423728813559322,0.04054054054054054,5,24,19,166,474,151,0.12583333333333332,0.31856540084388185,True,True,True,308,0.04220779220779221,284,0.03873239436619718,0.018232823541145776,0.09536938505571342
2,Eve_p_0.2,1200,588,0.49,118,0.0423728813559322,0.04931972789115646,5,29,24,186,470,139,0.11583333333333333,0.2957446808510638,True,True,True,295,0.06440677966101695,293,0.034129692832764506,0.018232823541145776,0.09536938505571342
3,Eve_p_0.2,1200,622,0.5183333333333333,124,0.08064516129032258,0.04340836012861737,10,27,17,132,498,29,0.024166666666666666,0.05823293172690763,True,True,True,336,0.041666666666666664,286,0.045454545454545456,0.04439298476897466,0.14209940229094858
4,Eve_p_0.2,1200,605,0.5041666666666667,121,0.04132231404958678,0.0512396694214876,5,31,26,195,484,146,0.12166666666666667,0.30165289256198347,True,True,True,312,0.04807692307692308,293,0.05460750853242321,0.017777486075125137,0.09309480708330535
5,Eve_p_0.2,1200,571,0.47583333333333333,114,0.017543859649122806,0.040280210157618214,2,23,21,199,457,241,0.20083333333333334,0.5273522975929978,True,True,True,270,0.044444444444444446,301,0.036544850498338874,0.004824418781068852,0.061718026459918675
6,Eve_p_0.2,1200,581,0.4841666666666667,116,0.06896551724137931,0.058519793459552494,8,34,26,224,465,16,0.013333333333333334,0.034408602150537634,True,True,True,300,0.05,281,0.06761565836298933,0.03535749065073652,0.13020673909033134
7,Eve_p_0.2,1200,590,0.49166666666666664,118,0.059322033898305086,0.05593220338983051,7,33,26,194,472,68,0.056666666666666664,0.1440677966101695,True,True,True,294,0.05102040816326531,296,0.060810810810810814,0.02902976488109972,0.11740199154550544
0,Eve_p_0.3,1200,593,0.49416666666666664,119,0.06722689075630252,0.06239460370994941,8,37,29,236,474,18,0.015,0.0379746835443038,True,True,True,277,0.07220216606498195,316,0.05379746835443038,0.03445575021955611,0.12706511587220667
1,Eve_p_0.3,1200,617,0.5141666666666667,123,0.06504065040650407,0.08103727714748785,8,50,42,292,494,5,0.004166666666666667,0.010121457489878543,True,True,True,306,0.07516339869281045,311,0.08681672025723473,0.033322636380229045,0.12310459967625977
2,Eve_p_0.3,1200,595,0.49583333333333335,119,0.09243697478991597,0.07226890756302522,11,43,32,247,476,1,0.0008333333333333334,0.0021008403361344537,True,True,True,285,0.07719298245614035,310,0.06774193548387097,0.05240057408111384,0.15796373670433264
3,Eve_p_0.3,1200,606,0.505,121,0.08264462809917356,0.08250825082508251,10,50,38,276,485,0,0.0,0.0,False,False,False,290,0.0896551724137931,316,0.0759493670886076,0.045509049437406586,0.14546483893197612
4,Eve_p_0.3,1200,576,0.48,115,0.043478260869565216,0.0642361111111111,5,37,30,236,461,0,0.0,0.0,False,False,False,294,0.05442176870748299,282,0.07446808510638298,0.018712101106831386,0.09775784934688925
5,Eve_p_0.3,1200,587,0.4891666666666667,117,0.09401709401709402,0.08347529812606473,11,49,38,271,470,1,0.0008333333333333334,0.002127659574468085,True,True,True,299,0.06688963210702341,288,0.10069444444444445,0.05331046193970683,0.1605355067608032
6,Eve_p_0.3,1200,591,0.4925,118,0.13559322033898305,0.07614213197969544,16,45,0,0,0,0,0.0,0.0,False,False,False,298,0.07046979865771812,293,0.08191126279863481,0.08521666421762861,0.20894805744283337
7,Eve_p_0.3,1200,594,0.495,119,0.10084033613445378,0.08249158249158249,12,49,37,267,475,1,0.0008333333333333334,0.002105263157894737,True,True,True,298,0.0738255033557047,296,0.09121621621621621,0.058630296197426456,0.16801516281924794
0,Eve_p_0.4,1200,616,0.5133333333333333,123,0.08943089430894309,0.09415584415584416,11,58,47,311,493,1,0.0008333333333333334,0.002028397565922921,True,True,True,316,0.0759493670886076,300,0.11333333333333333,0.05067093036620061,0.15305945133198043
1,Eve_p_0.4,1200,606,0.505,121,0.06611570247933884,0.10231023102310231,8,62,52,332,485,0,0.0,0.0,False,False,False,294,0.09523809523809523,312,0.10897435897435898,0.03387971998467562,0.12505353030032618
2,Eve_p_0.4,1200,619,0.5158333333333334,124,0.0967741935483871,0.0840064620355412,12,52,40,284,495,1,0.0008333333333333334,0.00202020202020202,True,True,True,310,0.08709677419354839,309,0.08090614886731391,0.056228207656693285,0.16155293374707905
3,Eve_p_0.4,1200,582,0.485,116,0.06896551724137931,0.11168384879725086,8,65,45,297,466,0,0.0,0.0,False,False,False,284,0.10915492957746478,298,0.11409395973154363,0.03535749065073652,0.13020673909033134
4,Eve_p_0.4,1200,593,0.49416666666666664,119,0.1092436974789916,0.09780775716694773,13,58,45,268,474,1,0.0008333333333333334,0.002109704641350211,True,True,True,273,0.10622710622710622,320,0.090625,0.06496241230925223,0.17796419493865007
5,Eve_p_0.4,1200,613,0.5108333333333334,123,0.12195121951219512,0.11256117455138662,15,69,0,0,0,0,0.0,0.0,False,False,False,311,0.12218649517684887,302,0.10264900662251655,0.07531417696635252,0.19148706558741818
6,Eve_p_0.4,1200,584,0.4866666666666667,117,0.1111111111111111,0.10102739726027397,13,59,0,0,0,0,0.0,0.0,False,False,False,300,0.1,284,0.10211267605633803,0.06609320162681151,0.18085398944420336
7,Eve_p_0.4,1200,602,0.5016666666666667,120,0.10833333333333334,0.09634551495016612,13,58,39,280,482,0,0.0,0.0,False,False,False,281,0.09608540925266904,321,0.09657320872274143,0.06441141154173441,0.17655360215291668
0,Eve_p_0.5,1200,601,0.5008333333333334,120,0.15833333333333333,0.1264559068219634,19,76,0,0,0,0,0.0,0.0,False,False,False,278,0.1366906474820144,323,0.11764705882352941,0.10376977359410051,0.23409332345868022
1,Eve_p_0.5,1200,634,0.5283333333333333,127,0.11023622047244094,0.12302839116719243,14,78,0,0,0,0,0.0,0.0,False,False,False,320,0.153125,314,0.09235668789808917,0.06681000217884539,0.17654909139660796
2,Eve_p_0.5,1200,595,0.49583333333333335,119,0.12605042016806722,0.12436974789915967,15,74,0,0,0,0,0.0,0.0,False,False,False,302,0.12582781456953643,293,0.12286689419795221,0.07789721130352727,0.19759169240683083
3,Eve_p_0.5,1200,571,0.47583333333333333,114,0.11403508771929824,0.12259194395796848,13,70,0,0,0,0,0.0,0.0,False,False,False,295,0.13898305084745763,276,0.10507246376811594,0.06786521821254023,0.18536873798024978
4,Eve_p_0.5,1200,591,0.4925,118,0.06779661016949153,0.1116751269035533,8,66,54,334,473,0,0.0,0.0,False,False,False,293,0.11604095563139932,298,0.10738255033557047,0.0347511750251653,0.12809535531631283
5,Eve_p_0.5,1200,626,0.5216666666666666,125,0.136,0.12460063897763578,17,78,0,0,0,0,0.0,0.0,False,False,False,324,0.10493827160493827,302,0.1456953642384106,0.08667630156716497,0.2070293050524967
6,Eve_p_0.5,1200,614,0.5116666666666667,123,0.17073170731707318,0.1465798045602606,21,90,0,0,0,0,0.0,0.0,False,False,False,317,0.15772870662460567,297,0.13468013468013468,0.11446678691870422,0.24694074691845086
7,Eve_p_0.5,1200,579,0.4825,116,0.14655172413793102,0.14853195164075994,17,86,0,0,0,0,0.0,0.0,False,False,False,297,0.16498316498316498,282,0.13120567375886524,0.09355750075335657,0.22220516763431902
0,Eve_p_0.6,1200,614,0.5116666666666667,123,0.11382113821138211,0.13192182410423453,14,81,0,0,0,0,0.0,0.0,False,False,False,319,0.12852664576802508,295,0.13559322033898305,0.06902284440685469,0.18201068293301853
1,Eve_p_0.6,1200,584,0.4866666666666667,117,0.13675213675213677,0.14554794520547945,16,85,0,0,0,0,0.0,0.0,False,False,False,292,0.1404109589041096,292,0.1506849315068493,0.08596097046894224,0.21063805415782993
