trial_index,condition_name,total_signals,sifted_key_length,sifting_ratio,test_bits,estimated_qber,actual_qber,estimated_error_count,actual_error_count,corrected_bits,reconciliation_leakage,reconciled_key_length,final_key_length,final_key_rate,compression_ratio,accepted,final_keys_match,reconciliation_matched,z_basis_sifted_length,z_basis_qber,x_basis_sifted_length,x_basis_qber,qber_ci_lower,qber_ci_upper
0,bit_flip_p_0.00,1000,490,0.49,98,0.0,0.0,0,0,0,25,392,294,0.294,0.75,True,True,True,241,0.0,249,0.0,0.0,0.037719990121680605
1,bit_flip_p_0.00,1000,497,0.497,99,0.0,0.0,0,0,0,25,398,298,0.298,0.7487437185929648,True,True,True,234,0.0,263,0.0,0.0,0.03735321206782739
2,bit_flip_p_0.00,1000,509,0.509,102,0.0,0.0,0,0,0,26,407,305,0.305,0.7493857493857494,True,True,True,251,0.0,258,0.0,0.0,0.03629446214646319
3,bit_flip_p_0.00,1000,490,0.49,98,0.0,0.0,0,0,0,25,392,294,0.294,0.75,True,True,True,243,0.0,247,0.0,0.0,0.037719990121680605
4,bit_flip_p_0.00,1000,492,0.492,98,0.0,0.0,0,0,0,25,394,295,0.295,0.748730964467005,True,True,True,229,0.0,263,0.0,0.0,0.037719990121680605
5,bit_flip_p_0.00,1000,518,0.518,104,0.0,0.0,0,0,0,26,414,310,0.31,0.748792270531401,True,True,True,257,0.0,261,0.0,0.0,0.03562135437245191
0,bit_flip_p_0.02,1000,513,0.513,103,0.0,0.007797270955165692,0,4,4,42,410,307,0.307,0.748780487804878,True,True,True,251,0.01593625498007968,262,0.0,0.0,0.03595475822864816
1,bit_flip_p_0.02,1000,525,0.525,105,0.009523809523809525,0.013333333333333334,1,7,6,51,420,315,0.315,0.75,True,True,True,240,0.029166666666666667,285,0.0,0.0016831692328561944,0.0519862586118897
2,bit_flip_p_0.02,1000,502,0.502,100,0.02,0.01195219123505976,2,6,4,42,402,267,0.267,0.664179104477612,True,True,True,235,0.02553191489361702,267,0.0,0.00550196755016235,0.07001179072854388
3,bit_flip_p_0.02,1000,491,0.491,98,0.04081632653061224,0.018329938900203666,4,9,5,70,393,164,0.164,0.4173027989821883,True,True,True,248,0.036290322580645164,243,0.0,0.015985249179476427,0.1002882111363527
4,bit_flip_p_0.02,1000,514,0.514,103,0.019417475728155338,0.009727626459143969,2,5,3,38,411,278,0.278,0.6763990267639902,True,True,True,256,0.01953125,258,0.0,0.0053412252741783794,0.06805218312034753
5,bit_flip_p_0.02,1000,472,0.472,94,0.0,0.012711864406779662,0,6,6,48,378,283,0.283,0.7486772486772487,True,True,True,232,0.02586206896551724,240,0.0,0.0,0.03926207629154474
0,bit_flip_p_0.04,1000,505,0.505,101,0.039603960396039604,0.031683168316831684,4,16,12,100,404,159,0.159,0.3935643564356436,True,True,True,244,0.06557377049180328,261,0.0,0.015507146202925828,0.0974391915711991
1,bit_flip_p_0.04,1000,524,0.524,105,0.009523809523809525,0.011450381679389313,1,6,5,74,419,314,0.314,0.7494033412887828,True,True,True,268,0.022388059701492536,256,0.0,0.0016831692328561944,0.0519862586118897
2,bit_flip_p_0.04,1000,515,0.515,103,0.038834951456310676,0.031067961165048542,4,16,12,100,412,166,0.166,0.4029126213592233,True,True,True,252,0.06349206349206349,263,0.0,0.01520398954826923,0.09562806901213441
3,bit_flip_p_0.04,1000,495,0.495,99,0.010101010101010102,0.022222222222222223,1,11,10,90,396,286,0.286,0.7222222222222222,True,True,True,236,0.046610169491525424,259,0.0,0.0017853072791700793,0.055015314645872934
4,bit_flip_p_0.04,1000,519,0.519,104,0.0,0.019267822736030827,0,10,10,118,415,311,0.311,0.7493975903614458,True,True,True,244,0.040983606557377046,275,0.0,0.0,0.03562135437245191
5,bit_flip_p_0.04,1000,492,0.492,98,0.01020408163265306,0.024390243902439025,1,12,11,119,394,269,0.269,0.682741116751269,True,True,True,250,0.048,242,0.0,0.0018035477567974675,0.055554809913420274
0,bit_flip_p_0.06,1000,488,0.488,98,0.02040816326530612,0.022540983606557378,2,11,9,111,390,222,0.222,0.5692307692307692,True,True,True,245,0.044897959183673466,243,0.0,0.0056146141550348985,0.07138211106371997
1,bit_flip_p_0.06,1000,526,0.526,105,0.02857142857142857,0.03802281368821293,3,20,17,149,421,188,0.188,0.44655581947743467,True,True,True,280,0.07142857142857142,246,0.0,0.00976383903870233,0.08065629063731557
2,bit_flip_p_0.06,1000,527,0.527,105,0.05714285714285714,0.03415559772296015,6,18,12,102,422,104,0.104,0.24644549763033174,True,True,True,238,0.07563025210084033,289,0.0,0.026449634437321692,0.11909654798560422
3,bit_flip_p_0.06,1000,491,0.491,98,0.01020408163265306,0.03665987780040733,1,18,17,117,393,269,0.269,0.6844783715012722,True,True,True,228,0.07894736842105263,263,0.0,0.0018035477567974675,0.055554809913420274
4,bit_flip_p_0.06,1000,518,0.518,104,0.009615384615384616,0.02702702702702703,1,14,13,130,414,284,0.284,0.6859903381642513,True,True,True,277,0.05054151624548736,241,0.0,0.0016993728496512567,0.05246772470794581
5,bit_flip_p_0.06,1000,490,0.49,98,0.02040816326530612,0.036734693877551024,2,18,16,137,392,210,0.21,0.5357142857142857,True,True,True,238,0.07563025210084033,252,0.0,0.0056146141550348985,0.07138211106371997
0,bit_flip_p_0.08,1000,497,0.497,99,0.030303030303030304,0.04225352112676056,3,21,18,147,398,168,0.168,0.4221105527638191,True,True,True,258,0.08139534883720931,239,0.0,0.010358639578454044,0.08533680206102018
1,bit_flip_p_0.08,1000,516,0.516,103,0.038834951456310676,0.03294573643410853,4,17,13,130,413,152,0.152,0.36803874092009686,True,True,True,245,0.06938775510204082,271,0.0,0.01520398954826923,0.09562806901213441
2,bit_flip_p_0.08,1000,481,0.481,96,0.03125,0.02494802494802495,3,12,9,86,385,187,0.187,0.4857142857142857,True,True,True,227,0.05286343612334802,254,0.0,0.010684070371201164,0.0878867932453698
3,bit_flip_p_0.08,1000,496,0.496,99,0.020202020202020204,0.024193548387096774,2,12,10,90,397,238,0.238,0.5994962216624685,True,True,True,245,0.04897959183673469,251,0.0,0.005557720110757801,0.07069031167150083
4,bit_flip_p_0.08,1000,503,0.503,101,0.0594059405940594,0.039761431411530816,6,20,14,108,402,86,0.086,0.21393034825870647,True,True,True,249,0.08032128514056225,254,0.0,0.027508127513887766,0.12359105594737155
5,bit_flip_p_0.08,1000,461,0.461,92,0.07608695652173914,0.052060737527114966,7,24,17,140,369,12,0.012,0.032520325203252036,True,True,True,237,0.10126582278481013,224,0.0,0.0373435597096154,0.14881240077167257
0,bit_flip_p_0.10,1000,497,0.497,99,0.050505050505050504,0.04024144869215292,5,20,15,135,398,100,0.1,0.25125628140703515,True,True,True,247,0.08097165991902834,250,0.0,0.021763234491416872,0.11282702686248858
1,bit_flip_p_0.10,1000,543,0.543,109,0.05504587155963303,0.03867403314917127,6,21,15,116,434,109,0.109,0.2511520737327189,True,True,True,262,0.08015267175572519,281,0.0,0.025469592397235466,0.11491727415210894
2,bit_flip_p_0.10,1000,489,0.489,98,0.05102040816326531,0.053169734151329244,5,26,21,159,391,84,0.084,0.21483375959079284,True,True,True,242,0.10743801652892562,247,0.0,0.021987311404024726,0.11392451646034153
3,bit_flip_p_0.10,1000,496,0.496,99,0.020202020202020204,0.056451612903225805,2,28,26,204,397,181,0.181,0.45591939546599497,True,True,True,252,0.1111111111111111,244,0.0,0.005557720110757801,0.07069031167150083
4,bit_flip_p_0.10,1000,499,0.499,100,0.05,0.04809619238476954,5,24,19,151,399,94,0.094,0.23558897243107768,True,True,True,251,0.09561752988047809,248,0.0,0.02154367915436796,0.11175046923191913
5,bit_flip_p_0.10,1000,504,0.504,101,0.0297029702970297,0.041666666666666664,3,21,18,124,403,185,0.185,0.45905707196029777,True,True,True,237,0.08860759493670886,267,0.0,0.010152480650585542,0.08371743427997216
0,bit_flip_p_0.12,1000,514,0.514,103,0.06796116504854369,0.06031128404669261,7,31,24,200,411,16,0.016,0.038929440389294405,True,True,True,263,0.11787072243346007,251,0.0,0.03330773910988612,0.13368229469933413
1,bit_flip_p_0.12,1000,496,0.496,99,0.04040404040404041,0.05241935483870968,4,26,22,163,397,121,0.121,0.3047858942065491,True,True,True,251,0.10358565737051793,245,0.0,0.015822638994147556,0.09932021250254229
2,bit_flip_p_0.12,1000,501,0.501,100,0.06,0.05588822355289421,6,28,22,192,401,42,0.042,0.10473815461346633,True,True,True,240,0.11666666666666667,261,0.0,0.027786123963188192,0.1247681544589592
3,bit_flip_p_0.12,1000,509,0.509,102,0.06862745098039216,0.05697445972495088,7,29,22,191,407,17,0.017,0.04176904176904177,True,True,True,254,0.1141732283464567,255,0.0,0.03363822087686714,0.13492955038674817
4,bit_flip_p_0.12,1000,499,0.499,100,0.06,0.052104208416833664,6,26,20,155,399,60,0.06,0.15037593984962405,True,True,True,238,0.1092436974789916,261,0.0,0.027786123963188192,0.1247681544589592
5,bit_flip_p_0.12,1000,506,0.506,101,0.039603960396039604,0.045454545454545456,4,23,19,126,405,147,0.147,0.362962962962963,True,True,True,255,0.09019607843137255,251,0.0,0.015507146202925828,0.0974391915711991
0,bit_flip_p_0.14,1000,475,0.475,95,0.08421052631578947,0.07157894736842105,8,34,24,192,380,0,0.0,0.0,False,False,False,235,0.14468085106382977,240,0.0,0.0432881153842945,0.15745213124326723
1,bit_flip_p_0.14,1000,494,0.494,99,0.050505050505050504,0.048582995951417005,5,24,19,151,395,91,0.091,0.23037974683544304,True,True,True,247,0.09716599190283401,247,0.0,0.021763234491416872,0.11282702686248858
2,bit_flip_p_0.14,1000,501,0.501,100,0.05,0.05189620758483034,5,26,21,162,401,90,0.09,0.22443890274314215,True,True,True,243,0.10699588477366255,258,0.0,0.02154367915436796,0.11175046923191913
