trial_index,condition_name,total_signals,sifted_key_length,sifting_ratio,test_bits,estimated_qber,actual_qber,estimated_error_count,actual_error_count,corrected_bits,reconciliation_leakage,reconciled_key_length,final_key_length,final_key_rate,compression_ratio,accepted,final_keys_match,reconciliation_matched,z_basis_sifted_length,z_basis_qber,x_basis_sifted_length,x_basis_qber,qber_ci_lower,qber_ci_upper
0,Ideal Channel,1200,597,0.4975,119,0.0,0.0,0,0,0,30,478,358,0.29833333333333334,0.7489539748953975,True,True,True,306,0.0,291,0.0,0.0,0.031271680241939506
1,Ideal Channel,1200,584,0.4866666666666667,117,0.0,0.0,0,0,0,30,467,350,0.2916666666666667,0.7494646680942184,True,True,True,287,0.0,297,0.0,0.0,0.03178924566273338
2,Ideal Channel,1200,557,0.46416666666666667,111,0.0,0.0,0,0,0,28,446,334,0.2783333333333333,0.7488789237668162,True,True,True,297,0.0,260,0.0,0.0,0.03345010469339235
3,Ideal Channel,1200,600,0.5,120,0.0,0.0,0,0,0,30,480,360,0.3,0.75,True,True,True,288,0.0,312,0.0,0.0,0.031019166418703486
4,Ideal Channel,1200,614,0.5116666666666667,123,0.0,0.0,0,0,0,31,491,368,0.30666666666666664,0.7494908350305499,True,True,True,278,0.0,336,0.0,0.0,0.030285514345309572
5,Ideal Channel,1200,610,0.5083333333333333,122,0.0,0.0,0,0,0,31,488,366,0.305,0.75,True,True,True,311,0.0,299,0.0,0.0,0.030526178389012868
6,Ideal Channel,1200,557,0.46416666666666667,111,0.0,0.0,0,0,0,28,446,334,0.2783333333333333,0.7488789237668162,True,True,True,279,0.0,278,0.0,0.0,0.03345010469339235
7,Ideal Channel,1200,586,0.48833333333333334,117,0.0,0.0,0,0,0,30,469,351,0.2925,0.7484008528784648,True,True,True,296,0.0,290,0.0,0.0,0.03178924566273338
8,Ideal Channel,1200,593,0.49416666666666664,119,0.0,0.0,0,0,0,30,474,355,0.29583333333333334,0.7489451476793249,True,True,True,289,0.0,304,0.0,0.0,0.031271680241939506
9,Ideal Channel,1200,576,0.48,115,0.0,0.0,0,0,0,29,461,345,0.2875,0.7483731019522777,True,True,True,299,0.0,277,0.0,0.0,0.03232423144931307
